latitude,longitude
-15.399999999999999,-42.0
-15.399999999999999,-41.75
-15.399999999999999,-41.5
-15.399999999999999,-41.25
-15.399999999999999,-41.0
-15.399999999999999,-40.75
-15.399999999999999,-40.5
-15.399999999999999,-40.25
-15.399999999999999,-40.0
-15.399999999999999,-39.75
-15.399999999999999,-39.5
-15.399999999999999,-39.25
-15.399999999999999,-39.0
-15.149999999999999,-45.0
-15.149999999999999,-44.75
-15.149999999999999,-44.5
-15.149999999999999,-44.25
-15.149999999999999,-44.0
-15.149999999999999,-43.75
-15.149999999999999,-43.5
-15.149999999999999,-43.25
-15.149999999999999,-43.0
-15.149999999999999,-42.75
-15.149999999999999,-42.5
-15.149999999999999,-42.25
-15.149999999999999,-42.0
-15.149999999999999,-41.75
-15.149999999999999,-41.5
-15.149999999999999,-41.25
-15.149999999999999,-41.0
-15.149999999999999,-40.75
-15.149999999999999,-40.5
-15.149999999999999,-40.25
-15.149999999999999,-40.0
-15.149999999999999,-39.75
-15.149999999999999,-39.5
-15.149999999999999,-39.25
-15.149999999999999,-39.0
-14.899999999999999,-45.0
-14.899999999999999,-44.75
-14.899999999999999,-44.5
-14.899999999999999,-44.25
-14.899999999999999,-44.0
-14.899999999999999,-43.75
-14.899999999999999,-43.5
-14.899999999999999,-43.25
-14.899999999999999,-43.0
-14.899999999999999,-42.75
-14.899999999999999,-42.5
-14.899999999999999,-42.25
-14.899999999999999,-42.0
-14.899999999999999,-41.75
-14.899999999999999,-41.5
-14.899999999999999,-41.25
-14.899999999999999,-41.0
-14.899999999999999,-40.75
-14.899999999999999,-40.5
-14.899999999999999,-40.25
-14.899999999999999,-40.0
-14.899999999999999,-39.75
-14.899999999999999,-39.5
-14.899999999999999,-39.25
-14.649999999999999,-45.0
-14.649999999999999,-44.75
-14.649999999999999,-44.5
-14.649999999999999,-44.25
-14.649999999999999,-44.0
-14.649999999999999,-43.75
-14.649999999999999,-43.5
-14.649999999999999,-43.25
-14.649999999999999,-43.0
-14.649999999999999,-42.75
-14.649999999999999,-42.5
-14.649999999999999,-42.25
-14.649999999999999,-42.0
-14.649999999999999,-41.75
-14.649999999999999,-41.5
-14.649999999999999,-41.25
-14.649999999999999,-41.0
-14.649999999999999,-40.75
-14.649999999999999,-40.5
-14.649999999999999,-40.25
-14.649999999999999,-40.0
-14.649999999999999,-39.75
-14.649999999999999,-39.5
-14.649999999999999,-39.25
-14.399999999999999,-45.0
-14.399999999999999,-44.75
-14.399999999999999,-44.5
-14.399999999999999,-44.25
-14.399999999999999,-44.0
-14.399999999999999,-43.75
-14.399999999999999,-43.5
-14.399999999999999,-43.25
-14.399999999999999,-43.0
-14.399999999999999,-42.75
-14.399999999999999,-42.5
-14.399999999999999,-42.25
-14.399999999999999,-42.0
-14.399999999999999,-41.75
-14.399999999999999,-41.5
-14.399999999999999,-41.25
-14.399999999999999,-41.0
-14.399999999999999,-40.75
-14.399999999999999,-40.5
-14.399999999999999,-40.25
-14.399999999999999,-40.0
-14.399999999999999,-39.75
-14.399999999999999,-39.5
-14.399999999999999,-39.25
-14.149999999999999,-45.0
-14.149999999999999,-44.75
-14.149999999999999,-44.5
-14.149999999999999,-44.25
-14.149999999999999,-44.0
-14.149999999999999,-43.75
-14.149999999999999,-43.5
-14.149999999999999,-43.25
-14.149999999999999,-43.0
-14.149999999999999,-42.75
-14.149999999999999,-42.5
-14.149999999999999,-42.25
-14.149999999999999,-42.0
-14.149999999999999,-41.75
-14.149999999999999,-41.5
-14.149999999999999,-41.25
-14.149999999999999,-41.0
-14.149999999999999,-40.75
-14.149999999999999,-40.5
-14.149999999999999,-40.25
-14.149999999999999,-40.0
-14.149999999999999,-39.75
-14.149999999999999,-39.5
-14.149999999999999,-39.25
-14.149999999999999,-39.0
-13.899999999999999,-45.0
-13.899999999999999,-44.75
-13.899999999999999,-44.5
-13.899999999999999,-44.25
-13.899999999999999,-44.0
-13.899999999999999,-43.75
-13.899999999999999,-43.5
-13.899999999999999,-43.25
-13.899999999999999,-43.0
-13.899999999999999,-42.75
-13.899999999999999,-42.5
-13.899999999999999,-42.25
-13.899999999999999,-42.0
-13.899999999999999,-41.75
-13.899999999999999,-41.5
-13.899999999999999,-41.25
-13.899999999999999,-41.0
-13.899999999999999,-40.75
-13.899999999999999,-40.5
-13.899999999999999,-40.25
-13.899999999999999,-40.0
-13.899999999999999,-39.75
-13.899999999999999,-39.5
-13.899999999999999,-39.25
-13.899999999999999,-39.0
-13.649999999999999,-45.0
-13.649999999999999,-44.75
-13.649999999999999,-44.5
-13.649999999999999,-44.25
-13.649999999999999,-44.0
-13.649999999999999,-43.75
-13.649999999999999,-43.5
-13.649999999999999,-43.25
-13.649999999999999,-43.0
-13.649999999999999,-42.75
-13.649999999999999,-42.5
-13.649999999999999,-42.25
-13.649999999999999,-42.0
-13.649999999999999,-41.75
-13.649999999999999,-41.5
-13.649999999999999,-41.25
-13.649999999999999,-41.0
-13.649999999999999,-40.75
-13.649999999999999,-40.5
-13.649999999999999,-40.25
-13.649999999999999,-40.0
-13.649999999999999,-39.75
-13.649999999999999,-39.5
-13.649999999999999,-39.25
-13.649999999999999,-39.0
-13.399999999999999,-45.0
-13.399999999999999,-44.75
-13.399999999999999,-44.5
-13.399999999999999,-44.25
-13.399999999999999,-44.0
-13.399999999999999,-43.75
-13.399999999999999,-43.5
-13.399999999999999,-43.25
-13.399999999999999,-43.0
-13.399999999999999,-42.75
-13.399999999999999,-42.5
-13.399999999999999,-42.25
-13.399999999999999,-42.0
-13.399999999999999,-41.75
-13.399999999999999,-41.5
-13.399999999999999,-41.25
-13.399999999999999,-41.0
-13.399999999999999,-40.75
-13.399999999999999,-40.5
-13.399999999999999,-40.25
-13.399999999999999,-40.0
-13.399999999999999,-39.75
-13.399999999999999,-39.5
-13.399999999999999,-39.25
-13.399999999999999,-39.0
-13.149999999999999,-45.0
-13.149999999999999,-44.75
-13.149999999999999,-44.5
-13.149999999999999,-44.25
-13.149999999999999,-44.0
-13.149999999999999,-43.75
-13.149999999999999,-43.5
-13.149999999999999,-43.25
-13.149999999999999,-43.0
-13.149999999999999,-42.75
-13.149999999999999,-42.5
-13.149999999999999,-42.25
-13.149999999999999,-42.0
-13.149999999999999,-41.75
-13.149999999999999,-41.5
-13.149999999999999,-41.25
-13.149999999999999,-41.0
-13.149999999999999,-40.75
-13.149999999999999,-40.5
-13.149999999999999,-40.25
-13.149999999999999,-40.0
-13.149999999999999,-39.75
-13.149999999999999,-39.5
-13.149999999999999,-39.25
-13.149999999999999,-39.0
-12.899999999999999,-45.0
-12.899999999999999,-44.75
-12.899999999999999,-44.5
-12.899999999999999,-44.25
-12.899999999999999,-44.0
-12.899999999999999,-43.75
-12.899999999999999,-43.5
-12.899999999999999,-43.25
-12.899999999999999,-43.0
-12.899999999999999,-42.75
-12.899999999999999,-42.5
-12.899999999999999,-42.25
-12.899999999999999,-42.0
-12.899999999999999,-41.75
-12.899999999999999,-41.5
-12.899999999999999,-41.25
-12.899999999999999,-41.0
-12.899999999999999,-40.75
-12.899999999999999,-40.5
-12.899999999999999,-40.25
-12.899999999999999,-40.0
-12.899999999999999,-39.75
-12.899999999999999,-39.5
-12.899999999999999,-39.25
-12.899999999999999,-39.0
-12.899999999999999,-38.75
-12.899999999999999,-38.5
-12.649999999999999,-45.0
-12.649999999999999,-44.75
-12.649999999999999,-44.5
-12.649999999999999,-44.25
-12.649999999999999,-44.0
-12.649999999999999,-43.75
-12.649999999999999,-43.5
-12.649999999999999,-43.25
-12.649999999999999,-43.0
-12.649999999999999,-42.75
-12.649999999999999,-42.5
-12.649999999999999,-42.25
-12.649999999999999,-42.0
-12.649999999999999,-41.75
-12.649999999999999,-41.5
-12.649999999999999,-41.25
-12.649999999999999,-41.0
-12.649999999999999,-40.75
-12.649999999999999,-40.5
-12.649999999999999,-40.25
-12.649999999999999,-40.0
-12.649999999999999,-39.75
-12.649999999999999,-39.5
-12.649999999999999,-39.25
-12.649999999999999,-39.0
-12.649999999999999,-38.75
-12.649999999999999,-38.5
-12.649999999999999,-38.25
-12.399999999999999,-45.0
-12.399999999999999,-44.75
-12.399999999999999,-44.5
-12.399999999999999,-44.25
-12.399999999999999,-44.0
-12.399999999999999,-43.75
-12.399999999999999,-43.5
-12.399999999999999,-43.25
-12.399999999999999,-43.0
-12.399999999999999,-42.75
-12.399999999999999,-42.5
-12.399999999999999,-42.25
-12.399999999999999,-42.0
-12.399999999999999,-41.75
-12.399999999999999,-41.5
-12.399999999999999,-41.25
-12.399999999999999,-41.0
-12.399999999999999,-40.75
-12.399999999999999,-40.5
-12.399999999999999,-40.25
-12.399999999999999,-40.0
-12.399999999999999,-39.75
-12.399999999999999,-39.5
-12.399999999999999,-39.25
-12.399999999999999,-39.0
-12.399999999999999,-38.75
-12.399999999999999,-38.5
-12.399999999999999,-38.25
-12.399999999999999,-38.0
-12.149999999999999,-45.0
-12.149999999999999,-44.75
-12.149999999999999,-44.5
-12.149999999999999,-44.25
-12.149999999999999,-44.0
-12.149999999999999,-43.75
-12.149999999999999,-43.5
-12.149999999999999,-43.25
-12.149999999999999,-43.0
-12.149999999999999,-42.75
-12.149999999999999,-42.5
-12.149999999999999,-42.25
-12.149999999999999,-42.0
-12.149999999999999,-41.75
-12.149999999999999,-41.5
-12.149999999999999,-41.25
-12.149999999999999,-41.0
-12.149999999999999,-40.75
-12.149999999999999,-40.5
-12.149999999999999,-40.25
-12.149999999999999,-40.0
-12.149999999999999,-39.75
-12.149999999999999,-39.5
-12.149999999999999,-39.25
-12.149999999999999,-39.0
-12.149999999999999,-38.75
-12.149999999999999,-38.5
-12.149999999999999,-38.25
-12.149999999999999,-38.0
-12.149999999999999,-37.75
-11.899999999999999,-45.0
-11.899999999999999,-44.75
-11.899999999999999,-44.5
-11.899999999999999,-44.25
-11.899999999999999,-44.0
-11.899999999999999,-43.75
-11.899999999999999,-43.5
-11.899999999999999,-43.25
-11.899999999999999,-43.0
-11.899999999999999,-42.75
-11.899999999999999,-42.5
-11.899999999999999,-42.25
-11.899999999999999,-42.0
-11.899999999999999,-41.75
-11.899999999999999,-41.5
-11.899999999999999,-41.25
-11.899999999999999,-41.0
-11.899999999999999,-40.75
-11.899999999999999,-40.5
-11.899999999999999,-40.25
-11.899999999999999,-40.0
-11.899999999999999,-39.75
-11.899999999999999,-39.5
-11.899999999999999,-39.25
-11.899999999999999,-39.0
-11.899999999999999,-38.75
-11.899999999999999,-38.5
-11.899999999999999,-38.25
-11.899999999999999,-38.0
-11.899999999999999,-37.75
-11.649999999999999,-45.0
-11.649999999999999,-44.75
-11.649999999999999,-44.5
-11.649999999999999,-44.25
-11.649999999999999,-44.0
-11.649999999999999,-43.75
-11.649999999999999,-43.5
-11.649999999999999,-43.25
-11.649999999999999,-43.0
-11.649999999999999,-42.75
-11.649999999999999,-42.5
