longitude,latitude
-44.82814109699996,-15.962636636999946
-44.82814109699996,-11.962636636999946
-44.82814109699996,-10.462636636999946
-44.57814109699996,-15.712636636999946
-44.57814109699996,-13.462636636999946
-44.57814109699996,-13.212636636999946
-44.57814109699996,-11.962636636999946
-44.57814109699996,-10.962636636999946
-44.57814109699996,-10.462636636999946
-44.57814109699996,-10.212636636999946
-44.57814109699996,-9.962636636999946
-44.32814109699996,-15.962636636999946
-44.32814109699996,-15.712636636999946
-44.32814109699996,-15.462636636999946
-44.32814109699996,-15.212636636999946
-44.32814109699996,-14.712636636999946
-44.32814109699996,-14.462636636999946
-44.32814109699996,-14.212636636999946
-44.32814109699996,-13.712636636999946
-44.32814109699996,-13.462636636999946
-44.32814109699996,-11.962636636999946
-44.32814109699996,-10.462636636999946
-44.32814109699996,-10.212636636999946
-44.32814109699996,-9.962636636999946
-44.32814109699996,-9.712636636999946
-44.07814109699996,-15.962636636999946
-44.07814109699996,-15.462636636999946
-44.07814109699996,-15.212636636999946
-44.07814109699996,-14.962636636999946
-44.07814109699996,-14.712636636999946
-44.07814109699996,-14.462636636999946
-44.07814109699996,-14.212636636999946
-44.07814109699996,-13.962636636999946
-44.07814109699996,-13.712636636999946
-44.07814109699996,-13.462636636999946
-44.07814109699996,-13.212636636999946
-44.07814109699996,-12.962636636999946
-44.07814109699996,-12.712636636999946
-44.07814109699996,-11.962636636999946
-44.07814109699996,-11.712636636999946
-44.07814109699996,-10.712636636999946
-44.07814109699996,-10.462636636999946
-44.07814109699996,-10.212636636999946
-44.07814109699996,-9.962636636999946
-44.07814109699996,-9.462636636999946
-44.07814109699996,-9.212636636999946
-44.07814109699996,-8.212636636999946
-43.82814109699996,-16.212636636999946
-43.82814109699996,-15.962636636999946
-43.82814109699996,-15.712636636999946
-43.82814109699996,-15.462636636999946
-43.82814109699996,-15.212636636999946
-43.82814109699996,-14.962636636999946
-43.82814109699996,-14.712636636999946
-43.82814109699996,-14.462636636999946
-43.82814109699996,-14.212636636999946
-43.82814109699996,-13.962636636999946
-43.82814109699996,-13.712636636999946
-43.82814109699996,-13.462636636999946
-43.82814109699996,-13.212636636999946
-43.82814109699996,-12.962636636999946
-43.82814109699996,-12.712636636999946
-43.82814109699996,-12.462636636999946
-43.82814109699996,-12.212636636999946
-43.82814109699996,-11.962636636999946
-43.82814109699996,-11.712636636999946
-43.82814109699996,-11.462636636999946
-43.82814109699996,-11.212636636999946
-43.82814109699996,-10.962636636999946
-43.82814109699996,-10.712636636999946
-43.82814109699996,-10.462636636999946
-43.82814109699996,-10.212636636999946
-43.82814109699996,-9.962636636999946
-43.82814109699996,-9.712636636999946
-43.82814109699996,-9.462636636999946
-43.82814109699996,-9.212636636999946
-43.82814109699996,-8.462636636999946
-43.82814109699996,-8.212636636999946
-43.57814109699996,-16.462636636999946
-43.57814109699996,-16.212636636999946
-43.57814109699996,-15.962636636999946
-43.57814109699996,-15.712636636999946
-43.57814109699996,-15.462636636999946
-43.57814109699996,-15.212636636999946
-43.57814109699996,-14.962636636999946
-43.57814109699996,-14.712636636999946
-43.57814109699996,-14.462636636999946
-43.57814109699996,-14.212636636999946
-43.57814109699996,-13.962636636999946
-43.57814109699996,-13.712636636999946
-43.57814109699996,-13.462636636999946
-43.57814109699996,-13.212636636999946
-43.57814109699996,-12.962636636999946
-43.57814109699996,-12.712636636999946
-43.57814109699996,-12.462636636999946
-43.57814109699996,-12.212636636999946
-43.57814109699996,-11.962636636999946
-43.57814109699996,-11.712636636999946
-43.57814109699996,-11.462636636999946
-43.57814109699996,-11.212636636999946
-43.57814109699996,-10.962636636999946
-43.57814109699996,-10.712636636999946
-43.57814109699996,-10.462636636999946
-43.57814109699996,-10.212636636999946
-43.57814109699996,-9.962636636999946
-43.57814109699996,-9.712636636999946
-43.57814109699996,-9.462636636999946
-43.57814109699996,-9.212636636999946
-43.57814109699996,-8.962636636999946
-43.57814109699996,-8.712636636999946
-43.57814109699996,-8.462636636999946
-43.57814109699996,-8.212636636999946
-43.57814109699996,-7.962636636999946
-43.57814109699996,-7.712636636999946
-43.32814109699996,-15.962636636999946
-43.32814109699996,-15.712636636999946
-43.32814109699996,-15.462636636999946
-43.32814109699996,-15.212636636999946
-43.32814109699996,-14.962636636999946
-43.32814109699996,-14.712636636999946
-43.32814109699996,-14.462636636999946
-43.32814109699996,-14.212636636999946
-43.32814109699996,-13.962636636999946
-43.32814109699996,-13.712636636999946
-43.32814109699996,-13.462636636999946
-43.32814109699996,-13.212636636999946
-43.32814109699996,-12.962636636999946
-43.32814109699996,-12.712636636999946
